% program   : RTKPOST ver.2.4.2
% obs_start : 2019/10/29 01:44:23.0 GPST
% obs_end   : 2019/10/29 01:54:54.0 GPST
% pos_mode  : ppp-static
% solution  : forward
% tropo opt : saastamoinen
% ephemeris : broadcast
% antenna1  : ( 0.0000  0.0000  0.0000)
% ====================================  END OF HEADER
%  GPST           x-ecef(m)             y-ecef(m)      z-ecef(m)   Q 
2018/10/29 01:46:43.000  3664881.1371      1409190.2730          5009618.5828  6 
2018/10/29 01:46:44.000  3664880.4732      1409190.3002          5009617.6852  6 
2018/10/29 01:46:45.000  3664879.6228      1409191.8139          5009617.5123  6 
2018/10/29 01:46:46.000  3664881.0913      1409190.4834          5009616.6903  6 
2018/10/29 01:46:47.000  3664881.0460          1409189.7029          5009617.1867  6 
2018/10/29 01:46:48.000  3664879.6034          1409190.2789          5009617.0678  6 
2018/10/29 01:46:49.000  3664881.3752          1409191.7413          5009618.3628  6 
2018/10/29 01:46:50.000  3664881.0977          1409189.9354          5009619.4760  6 
2018/10/29 01:46:51.000  3664880.8063          1409189.5210          5009618.3248  6 
2018/10/29 01:46:52.000  3664878.9267          1409190.2639          5009618.3224  6 
2018/10/29 01:46:53.000  3664882.4247          1409191.0017          5009618.2125  6 
2018/10/29 01:46:54.000  3664880.5685          1409190.6003          5009618.0812  6 
2018/10/29 01:46:55.000  3664881.9703          1409190.0087          5009619.0837  6 
2018/10/29 01:46:56.000  3664882.4072          1409188.0871          5009618.9263  6 
2018/10/29 01:46:57.000  3664881.6768          1409189.3459          5009618.7990  6 
2018/10/29 01:46:58.000  3664880.4349          1409189.8696          5009618.2644  6 
2018/10/29 01:46:59.000  3664881.6790          1409191.4838          5009618.0653  6 
2018/10/29 01:47:00.000  3664880.8245          1409189.6668          5009619.1705  6 
2018/10/29 01:47:01.000  3664880.5418          1409190.1882          5009617.7069  6 
2018/10/29 01:47:02.000  3664881.3972          1409189.9855          5009617.6096  6 
2018/10/29 01:47:03.000  3664881.0507       1409190.4729          5009618.2734  6 
2018/10/29 01:47:04.000  3664881.2143       1409190.7221          5009617.8809  6 
2018/10/29 01:47:05.000  3664881.3871       1409190.3035          5009619.4579  6 
2018/10/29 01:47:06.000  3664880.7468       1409190.1065          5009618.4842  6 
